x,y,river,year,migration_rate (m/yr),curvature (1/m),row_id,EVI_change_2000_2016_unitless,EVI_change_2016_2024_unitless,CV_runoff_ERA5_2000_2016_unitless,CV_runoff_ERA5_2016_2024_unitless,DamDistance_km,CV_discharge_USGS_2000_2016_unitless,CV_discharge_USGS_2016_2024_unitless,DamBin,DamBin_code,CV_diff_2000_2016_ERA5_minus_USGS,CV_diff_2016_2024_ERA5_minus_USGS
422696.4424,3598666.691,Blackwarrior,2000,4.571080804,0.001367613,25,-0.044816737,0.90677022,1.305027957,0.967452609,28.28320403,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
422733.9051,3598428.489,Blackwarrior,2000,4.429747884,0.001547824,26,-0.041868308,0.291319066,1.305027957,0.967452609,28.52314455,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
423008.2684,3598236.468,Blackwarrior,2000,-1.123323702,0.001076012,27,-0.047462966,0.413733977,1.305027957,0.967452609,28.73091632,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
423241.5787,3598123.255,Blackwarrior,2000,4.712468634,0.005024297,28,-0.043180497,0.329137268,1.305027957,0.967452609,28.85951119,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
423383.7973,3598208.506,Blackwarrior,2000,-1.460920588,0.0016863,29,-0.061856986,0.433585684,1.305027957,0.967452609,28.78488774,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
423546.9835,3598547.519,Blackwarrior,2000,4.970589474,-5.25E-05,30,-0.049009914,0.292897135,1.305027957,0.967452609,28.45974518,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
423741.0482,3598943.924,Blackwarrior,2000,-10.87994434,-0.000337005,31,0.045464143,0.653878234,1.305027957,0.967452609,28.08147571,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
424088.5057,3599377.598,Blackwarrior,2000,6.151576524,-0.000158353,32,0.066225109,0.266853767,1.305027957,0.967452609,27.68356633,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
424543.3168,3599755.635,Blackwarrior,2000,4.604301038,0.000220167,33,0.135825643,0.289303546,1.305027957,0.967452609,27.35935661,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
424855.7778,3600142.673,Blackwarrior,2000,13.39908554,0.000420151,34,0.034078794,0.311450491,1.305027957,0.967452609,27.01565038,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
425096.7279,3600684.234,Blackwarrior,2000,18.15186853,0.000670357,35,0.048880079,0.336777648,1.305027957,0.967452609,26.5133436,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
425134.0111,3601046.195,Blackwarrior,2000,4.437894607,0.000427914,36,0.053926365,0.28332975,1.305027957,0.967452609,26.16082943,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
425043.2731,3601677.912,Blackwarrior,2000,0.442374574,9.36E-05,37,0.05745589,0.278348574,1.305027957,0.967452609,25.52243669,1.454717049,1.258098565,10–30 km,1,-0.149689092,-0.290645956
424968.7854,3602304.822,Blackwarrior,2000,-3.661704711,-4.83E-05,38,-0.008048413,0.050006052,1.238918841,0.953451531,24.89125489,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
424837.3301,3602674.424,Blackwarrior,2000,0.584299177,-0.000861958,39,,,,,,1.454717049,1.258098565,Unknown,-1,,
424966.2308,3603023.545,Blackwarrior,2000,7.823433206,-0.001520072,40,,,,,,1.454717049,1.258098565,Unknown,-1,,
425078.2719,3603214.814,Blackwarrior,2000,-4.41483492,-0.002711246,41,,,,,,1.454717049,1.258098565,Unknown,-1,,
425351.188,3603304.638,Blackwarrior,2000,-7.586284348,-0.003490795,42,0.072468694,0.268942271,1.238918841,0.953451531,23.96640065,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425526.5054,3603143.815,Blackwarrior,2000,-1.007465308,-0.001262172,43,0.066362397,0.265995654,1.238918841,0.953451531,24.15565724,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425667.8934,3602868.634,Blackwarrior,2000,7.317563866,0.000972135,44,0.074234453,0.417873379,1.238918841,0.953451531,24.45197738,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425779.1855,3602718.353,Blackwarrior,2000,4.55572785,0.012152119,45,0.106927809,0.461347468,1.238918841,0.953451531,24.62025739,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
425992.6147,3602885.307,Blackwarrior,2000,-0.440033573,0.00078895,46,0.046018201,0.454558433,1.238918841,0.953451531,24.49705605,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426208.6577,3603588.405,Blackwarrior,2000,22.02533268,0.000301771,47,0.027747083,0.447536894,1.238918841,0.953451531,23.85215682,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
426161.0005,3604263.302,Blackwarrior,2000,-12.12733457,0.000169787,48,0.037857572,0.28868853,1.238918841,0.953451531,23.18226953,1.454717049,1.258098565,10–30 km,1,-0.215798208,-0.304647034
