group1,group2,z,p_two,p_holm,n1,n2
10–30 km,No Dam,6.9581853189814185,3.446798402251261e-12,1.0340395206753783e-11,657,1213
10–30 km,0–10 km,4.319970455016873,1.560500919373098e-05,3.121001838746196e-05,657,394
0–10 km,No Dam,1.065622162044791,0.28659447677886174,0.28659447677886174,394,1213
