river,year,bend_id,n_points,s_length_m,curvature_abs_max,curvature_abs_mean,apex_row_id,apex_x,apex_y,DamDistance_km_mean,Delta_EVI_change_unitless_mean,CV_runoff_selected_mean,is_training_any,apex_s_m,mean_migration_rate,median_migration_rate,std_migration_rate,mean_migration_abs,max_migration_abs,mean_curvature,std_curvature,mean_curvature_abs,frac_pos_curv,frac_pos_migration,s_min,s_max,span_s_m,best_lag_m,best_lag_abs_corr,best_lag_corr_signed,n_pairs_for_best_lag,chord_len_m,sinuosity_unitless
Blackwarrior,2000,Blackwarrior_2000_0,20,2119.188639,0.004985658,0.000991185,8,420796.8812,3601428.893,26.24467411,0.321433756,1.293205767,True,1919.412629,1.5037098409,1.907816794,3.9529902074498446,3.5561502845,7.316085787,-0.0009911846,0.0014099156354611918,0.0009911846,0.0,0.8,0.0,2119.188639,2119.188639,1462.0,0.997283981547777,-0.997283981547777,6,1944.3683202238096,1.0899111124974858
Blackwarrior,2000,Blackwarrior_2000_1,6,418.2345625,0.00137199,0.000690728,12,421594.8407,3601172.989,25.68183044,0.557395666,1.305027957,True,2764.660369,-1.0412122316666668,-1.583559833,5.112875010627051,4.325879543,6.467077829,0.0006907276666666667,0.000543390537986324,0.0006907276666666667,1.0,0.3333333333333333,2346.425807,2764.660369,418.2345620000001,0.0,0.15794594776015325,0.15794594776015325,6,417.53575398703947,1.0016736495169278
Blackwarrior,2000,Blackwarrior_2000_10,12,2207.087076,0.000755157,0.000350524,67,428946.2448,3604971.34,23.13539732,0.24545878,1.254128616,True,22235.78212,-2.8810210641666667,-3.9467407195,7.277770786504961,6.381957770833334,11.73729317,-0.0003505236666666667,0.00023602559584823664,0.0003505236666666667,0.0,0.16666666666666666,21865.88406,24072.97114,2207.087080000001,1290.0,0.9329513293894726,-0.9329513293894726,6,2104.1617950154937,1.0489150982725395
Blackwarrior,2000,Blackwarrior_2000_11,6,526.3919519,0.004391567,0.00287049,73,430843.9026,3606027.894,22.91482203,0.180468142,1.269338391,True,24471.75485,-3.422328169,-4.335177018,2.196076341517129,3.422328169,5.290440119,0.00287049,0.0020244295228649474,0.00287049,1.0,0.0,24274.17953,24800.57148,526.3919499999975,0.0,0.9572749959541078,-0.9572749959541078,6,424.57040268203235,1.2398225325523302
Blackwarrior,2000,Blackwarrior_2000_12,8,1569.604227,0.000372791,0.000180514,75,430350.5233,3606727.853,21.47641278,0.112746178,1.269338391,True,25329.68819,-6.549968625,-7.568239975,14.403082253750904,12.94998284,23.86342298,-0.000180514,0.00015495777224042132,0.000180514,0.0,0.25,25329.68819,26899.29242,1569.6042300000008,602.0,0.925609837121088,-0.925609837121088,6,1567.9743849779952,1.0010394570457397
Blackwarrior,2000,Blackwarrior_2000_13,10,1543.913583,0.003010487,0.001135765,80,429652.2691,3608743.213,19.90724037,0.149898173,1.251086661,True,27471.18317,-3.5670499978000003,-2.448155444,5.980361878759119,5.4340739026,12.97694876,0.0011357652,0.0010161572710261383,0.0011357652,1.0,0.2,27211.98234,28755.89593,1543.91359,0.0,0.7567904460441746,0.7567904460441746,10,1365.5984761387954,1.1305765274177717
Blackwarrior,2000,Blackwarrior_2000_14,4,325.3854865,0.000767538,0.000404469,85,427810.7578,3608233.847,19.77863943,0.158158947,1.238918841,True,29454.4008,1.9767396064999998,1.9767396065,1.9200252628084375,1.9767396064999998,3.63953026,-0.00040446899999999997,0.00041923596976881647,0.00040446899999999997,0.0,1.0,29129.01532,29454.4008,325.3854800000008,,,,0,325.3854865317581,0.9999999999023986
Blackwarrior,2000,Blackwarrior_2000_15,6,829.4604231,0.000220686,9.61e-05,87,427265.6692,3608126.195,19.76271195,0.165823747,1.238918841,True,30010.55076,-0.5698382820000001,-0.638807943,5.539900146334496,4.341941749333333,6.728862104,9.609533333333334e-05,9.739903763521827e-05,9.609533333333334e-05,1.0,0.3333333333333333,29676.39398,30505.8544,829.4604199999994,0.0,0.9219011165596249,-0.9219011165596249,6,826.6392267798727,1.0034128507681845
Blackwarrior,2000,Blackwarrior_2000_16,16,3001.700082,0.001623231,0.000589635,89,426539.5524,3607796.84,18.90326417,0.179978595,1.238918841,True,30808.34627,-1.5673314034999999,0.04268359300000002,6.442826525425019,5.2891618675,12.34233958,-0.000589635,0.00046247804870948566,0.000589635,0.0,0.5,30808.34627,33810.04635,3001.7000799999987,1892.0,0.9969445164254782,-0.9969445164254782,6,2853.48810164934,1.0519406337334969
Blackwarrior,2000,Blackwarrior_2000_17,4,381.5759756,0.000474114,0.000372685,98,424065.2239,3610374.617,16.96168109,0.344016096,1.238918841,True,34707.72433,-4.1845289225,-4.1845289225,1.9500957594546102,4.1845289225,5.87336139,0.000372685,0.0001171201209072691,0.000372685,1.0,0.0,34326.14836,34707.72433,381.57596999999805,,,,0,381.575975552626,1.0000000001241536
Blackwarrior,2000,Blackwarrior_2000_18,12,1115.540042,0.004007959,0.001749891,103,424072.98,3611499.237,15.96080275,0.278215862,1.238918841,True,36043.99643,-1.0743865103333334,-1.7503160345,3.749466364114317,3.401897803,4.736490915,-0.0017498913333333333,0.001307286073067499,0.0017498913333333333,0.0,0.5,35089.5013,36205.04135,1115.540049999996,86.0,0.908994636799431,0.908994636799431,10,913.0261007230464,1.2218052048200794
Blackwarrior,2000,Blackwarrior_2000_19,4,355.7323808,0.00013528,0.00010054,105,424538.5739,3611441.718,15.85726274,0.275802439,1.238918841,True,36517.26278,-1.7804992780000002,-1.7804992780000002,3.6985931763697706,3.203075649,4.983574927,0.00010054,4.011429670329519e-05,0.00010054,1.0,0.5,36517.26278,36872.99517,355.73239000000467,,,,0,355.73238081017683,0.9999999999713919
Blackwarrior,2000,Blackwarrior_2000_2,14,2069.985089,0.003179872,0.001161865,19,423324.2924,3600211.538,26.15765052,0.419478725,1.305027957,True,5016.118257,-3.495639397142857,0.885422587,6.536423255810363,5.653441084,11.9811038,-0.0011618651428571428,0.001059247117396187,0.0011618651428571428,0.0,0.5714285714285714,2946.133168,5016.118257,2069.9850890000002,860.0,0.7731275224005257,-0.7731275224005257,6,1826.4336041903712,1.1333481185688057
Blackwarrior,2000,Blackwarrior_2000_20,2,0.0,9.72e-05,9.72e-05,107,425088.5948,3611436.099,15.95116122,0.257143431,1.238918841,True,37067.65134,2.203168656,2.203168656,0.0,2.203168656,2.203168656,-9.72e-05,0.0,9.72e-05,0.0,1.0,37067.65134,37067.65134,0.0,,,,0,0.0,
Blackwarrior,2000,Blackwarrior_2000_21,12,1597.249071,0.000389536,0.000258198,109,425695.9131,3611399.562,16.17440222,0.065418778,1.238918841,True,37676.37779,1.0480554323333333,2.1696252714999997,3.898781740637344,3.3697237083333333,6.965004828,0.00025819833333333333,8.866386730828181e-05,0.00025819833333333333,1.0,0.8333333333333334,37393.83983,38991.0889,1597.2490700000053,774.0,0.9906613333515132,-0.9906613333515132,6,1586.922038930433,1.0065075862684012
Blackwarrior,2000,Blackwarrior_2000_22,8,643.8538322,0.002812603,0.001293992,115,427320.5336,3611867.847,16.31910281,-0.014654013,1.238918841,True,39389.98853,0.42596731549999994,0.7687422989999999,2.0985145697192533,1.8795047295,2.413541,-0.00129399225,0.0010175835966912358,0.00129399225,0.0,0.5,39244.80036,39888.65419,643.85383,86.0,0.45170305041283487,0.45170305041283487,6,620.5923773512595,1.037482662851939
Blackwarrior,2000,Blackwarrior_2000_23,6,665.2208001,0.000124513,7.84e-05,119,428348.0477,3611373.57,17.09072817,0.172866928,1.238918841,True,40553.06765,-2.194483403,-5.959240345,6.576786815945707,6.380227782333333,6.902826433,7.843766666666668e-05,5.319407678554697e-05,7.843766666666668e-05,1.0,0.3333333333333333,40203.43082,40868.65162,665.2207999999955,0.0,0.9621319499862729,-0.9621319499862729,6,665.2194862767747,1.000001975022158
Blackwarrior,2000,Blackwarrior_2000_24,2,0.0,7.96e-05,7.96e-05,121,428995.4296,3611068.252,17.652902,0.254978767,1.238918841,True,41269.51846,1.122770573,1.122770573,0.0,1.122770573,1.122770573,-7.96e-05,0.0,7.96e-05,0.0,1.0,41269.51846,41269.51846,0.0,,,,0,0.0,
Blackwarrior,2000,Blackwarrior_2000_25,22,3851.357095,0.013458763,0.002272173,123,429261.8026,3610930.486,16.81414262,0.164863191,1.184739479,True,41577.83241,2.521900479727273,0.982222809,7.702717570546425,5.878310275181819,18.7372452,0.002272172727272727,0.003873937608795452,0.002272172727272727,1.0,0.6363636363636364,41472.95575,45324.31285,3851.357100000001,2580.0,0.9987831053061947,0.9987831053061947,8,2838.1696830083674,1.3569862006691886
Blackwarrior,2000,Blackwarrior_2000_26,20,5072.233421,0.001982412,0.000730319,135,428230.7923,3612796.018,14.50651012,0.076707415,1.141346808,True,46869.55883,-4.0356983913999995,-5.74614044,7.893673531092689,7.035669303800001,14.64446646,-0.0007303190999999999,0.0007081005396198971,0.0007303190999999999,0.0,0.2,45971.83576,51044.06918,5072.233419999997,2064.0,0.9448103283624137,-0.9448103283624137,10,3676.2792407024344,1.3797193001124795
Blackwarrior,2000,Blackwarrior_2000_27,6,1069.035808,0.000957741,0.000723126,144,426338.1828,3616077.026,12.04890719,0.030420427,1.141346808,True,52239.92236,-0.25578010233333376,-4.098437374,7.465951623759685,6.469566469,9.32067955,0.0007231263333333333,0.00020586092051738883,0.0007231263333333333,1.0,0.3333333333333333,51538.66235,52607.69816,1069.0358100000012,0.0,0.9303221667639432,0.9303221667639432,6,1037.1176892839576,1.0307757924156893
Blackwarrior,2000,Blackwarrior_2000_28,8,1538.412081,0.000727572,0.000458793,149,425361.4053,3618333.26,10.17746657,0.08703242,1.141346808,True,54757.13876,-3.29629905525,-3.9287713045,7.451042890679821,6.84873549925,12.4325265,-0.000458793,0.0002463865353058077,0.000458793,0.0,0.25,53218.72668,54757.13876,1538.4120800000019,0.0,0.7414678120190152,-0.7414678120190152,8,1519.221705489998,1.0126317149370982
Blackwarrior,2000,Blackwarrior_2000_29,16,2927.595257,0.003440882,0.001001162,153,425319.6411,3620134.629,8.204723218,0.133626015,1.141346808,True,56694.4765,2.2516403515,4.675024756,8.818392157151612,7.77310647275,15.24854206,0.0010011623750000001,0.0010407866752808266,0.0010011623750000001,1.0,0.75,55312.2913,58239.88655,2927.5952500000058,1806.0,0.9640585260544705,-0.9640585260544705,6,1690.204894398675,1.732094887845862
Blackwarrior,2000,Blackwarrior_2000_3,20,2532.002132,0.005024297,0.001399982,28,423241.5787,3598123.255,28.06243434,0.366235566,1.305027957,True,7691.286711,2.2324704848,4.500414344,5.561395578801015,5.2440864853999996,10.71583252,0.0013999821,0.0013657866870355206,0.0013999821,1.0,0.6,5325.097314,7857.099446,2532.0021320000005,1548.0,0.9827266629917826,-0.9827266629917826,6,1864.191594481567,1.3582306343914996
Blackwarrior,2000,Blackwarrior_2000_30,28,5281.610125,0.001447019,0.00079878,158,423854.2017,3619285.597,6.627157685,-0.008342155,1.141346808,True,58458.30116,-5.091622440285714,-5.425506507,4.439298691756145,5.981980218428572,11.52283408,-0.0007987798571428571,0.00036580568391182916,0.0007987798571428571,0.0,0.14285714285714285,58458.30116,63739.91128,5281.610119999998,1462.0,0.6928105301062728,-0.6928105301062728,18,2803.2021735863345,1.8841345710869164
Blackwarrior,2000,Blackwarrior_2000_31,30,6196.244338,0.006728631,0.001420811,173,424232.9446,3622021.167,3.419825496,0.063099,1.112643541,True,64329.41964,0.07241710226666695,-1.649724016,9.966159206864274,8.320661196533333,22.29252948,0.0014208106666666667,0.0018432671644902573,0.0014208106666666667,1.0,0.4666666666666667,64195.54292,70391.78726,6196.2443399999975,2150.0,0.921237050934351,-0.921237050934351,18,4225.848812964483,1.4662721295164514
Blackwarrior,2000,Blackwarrior_2000_32,10,972.350734,0.006803933,0.001889373,188,421835.2187,3625068.488,1.91777416,0.072733823,1.093508029,True,70875.58106,0.6753309178,0.981570553,2.498491600356943,2.294899495,3.624813303,-0.0018892132,0.002654662646476313,0.0018893728,0.2,0.6,70691.31477,71663.6655,972.3507300000056,0.0,0.4564016765999004,0.4564016765999004,10,836.3654350659958,1.1625907686193104
Blackwarrior,2000,Blackwarrior_2000_33,4,462.4362624,0.000358942,0.000274536,193,420120.7712,3624925.658,2.143785973,0.01136453,1.144264558,True,72636.02261,-8.0983130605,-8.0983130605,2.478274205492268,8.0983130605,10.24456148,0.00027453600000000003,9.746365364243911e-05,0.00027453600000000003,1.0,0.0,72173.58635,72636.02261,462.4362600000022,,,,0,462.43626239604566,1.000000000008551
Blackwarrior,2000,Blackwarrior_2000_34,14,1663.740267,0.00736248,0.001742399,199,418464.4788,3625302.367,2.971823663,0.039897491,1.195021086,True,74556.2708,-0.6779079068571428,-3.322373966,5.811597136311095,4.963956383428572,9.776813836,-0.0017423992857142857,0.0024593162366615216,0.0017423992857142857,0.0,0.42857142857142855,73063.65976,74727.40003,1663.7402700000093,688.0,0.7593549673969477,-0.7593549673969477,8,1363.979560025227,1.2197692075160047
Blackwarrior,2000,Blackwarrior_2000_35,4,230.3750699,0.000735231,0.000689609,201,418688.6758,3625658.1,2.717752895,0.150941492,1.195021086,True,74976.8314,-3.730928657,-3.730928657,8.312945372664784,7.199221873000001,10.93015053,0.0006896090000000001,5.267974796193823e-05,0.0006896090000000001,1.0,0.5,74976.8314,75207.20647,230.37507000000915,,,,0,230.37506989477367,1.000000000022686
Blackwarrior,2000,Blackwarrior_2000_36,8,810.1151525,0.003962559,0.001621376,204,418858.797,3626417.069,2.268326904,-0.006996312,1.195021086,True,75763.03302,6.547679453,7.3594265275,2.881149004841132,6.547679453,9.370276827,-0.0016213760000000001,0.0016911962460964892,0.0016213760000000001,0.0,1.0,75501.60057,76311.71572,810.1151499999978,172.0,0.8715613938547777,-0.8715613938547777,6,647.5401659433097,1.2510654861383892
Blackwarrior,2000,Blackwarrior_2000_37,6,723.2546582,0.001384611,0.000741385,208,420151.7093,3626400.954,1.171215888,0.057847039,1.1611834,True,77111.60636,2.7081787503333334,1.514694597,2.4318628472568125,2.7081787503333334,5.819705672,0.0007413846666666666,0.000509535040979388,0.0007413846666666666,1.0,1.0,76731.42974,77454.6844,723.2546599999914,0.0,0.9970140100404571,0.9970140100404571,6,693.5111911020161,1.0428882294613304
Blackwarrior,2000,Blackwarrior_2000_38,4,284.7378422,0.000455064,0.000449474,210,420747.5029,3626959.256,0.342311974,0.163055707,1.093508029,True,77932.66027,-4.400560978,-4.400560978,9.363566491888294,8.109086452,12.50964743,-0.000449474,6.454776009539991e-06,0.000449474,0.0,0.5,77932.66027,78217.39811,284.7378400000016,,,,0,284.7378421956586,1.0000000000152471
Blackwarrior,2000,Blackwarrior_2000_39,8,652.34713,0.001815156,0.000795392,214,421646.5231,3627436.602,0.555068079,0.579992732,1.093508029,True,78962.62822,3.4591768417499997,4.632420510999999,7.750353931663327,7.0122945542499995,11.67810177,0.0007953915000000001,0.000645778812427068,0.0007953915000000001,1.0,0.75,78460.1509,79112.49803,652.3471300000092,0.0,0.7622704588162399,-0.7622704588162399,8,645.6258488565867,1.0104104895355674
Blackwarrior,2000,Blackwarrior_2000_4,6,997.0569271,0.000337005,0.000182619,31,423741.0482,3598943.924,28.07492907,0.383649933,1.305027957,True,8674.702749,0.08074055266666669,4.970589474,8.50652185515633,7.334036779333334,10.87994434,-0.00018261933333333334,0.00012861544217187399,0.00018261933333333334,0.0,0.6666666666666666,8233.343449,9230.400376,997.0569269999996,0.0,0.9051535267353273,0.9051535267353273,6,991.0991067166149,1.0060113265595836
