river,year,row_id,x,y,DamBin,DamBin_encoded,Regulated_binary,DamDistance_km,migration_rate_m_per_yr,curvature,EVI_change_2000_2018_unitless,EVI_change_2018_2024_unitless,Delta_EVI_change_unitless,CV_runoff_ERA5_2000_2018_unitless,CV_runoff_ERA5_2018_2024_unitless,Delta_ERA5_CV_unitless,__source,epoch,is_training,ds_m,s_m,curv_sign,curv_sign_ff,bend_id,U_mode,CV_runoff_selected,CV_runoff_z,phase_lag_min_m,phase_lag_max_m,phase_lag_step_m,migration_abs_m_per_yr
Blackwarrior,2000,8,420796.8812,3601428.893,10–30 km,2,1,25.48371393,0.945181644,-0.004985658,0.108335564,0.302039715,0.193704151,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,173.3602123,1919.412629,-1,-1,Blackwarrior_2000_0,absorbed,1.305027957,2.408036438,0,3000,86,0.945181644
Blackwarrior,2000,8,420796.8812,3601428.893,10–30 km,2,1,25.48371393,0.945181644,-0.004985658,0.108335564,0.302039715,0.193704151,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,1919.412629,-1,-1,Blackwarrior_2000_0,absorbed,1.305027957,2.408036438,0,3000,86,0.945181644
Blackwarrior,2000,9,420993.1265,3601391.5,10–30 km,2,1,25.5187588,2.062387761,-0.001053126,0.015853823,0.417010027,0.401156204,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,199.7760101,2119.188639,-1,-1,Blackwarrior_2000_0,absorbed,1.305027957,2.408036438,0,3000,86,2.062387761
Blackwarrior,2000,9,420993.1265,3601391.5,10–30 km,2,1,25.5187588,2.062387761,-0.001053126,0.015853823,0.417010027,0.401156204,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,2119.188639,-1,-1,Blackwarrior_2000_0,absorbed,1.305027957,2.408036438,0,3000,86,2.062387761
Blackwarrior,2000,10,421191.3614,3601280.416,10–30 km,2,1,25.62903283,-6.467077829,0.000205173,-0.006041841,0.480792966,0.486834807,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,227.2371682,2346.425807,1,1,Blackwarrior_2000_1,absorbed,1.305027957,2.408036438,0,3000,86,6.467077829
Blackwarrior,2000,10,421191.3614,3601280.416,10–30 km,2,1,25.62903283,-6.467077829,0.000205173,-0.006041841,0.480792966,0.486834807,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,2346.425807,1,1,Blackwarrior_2000_1,absorbed,1.305027957,2.408036438,0,3000,86,6.467077829
Blackwarrior,2000,11,421414.7172,3601233.399,10–30 km,2,1,25.67695221,4.927000967,0.00049502,-0.044986993,0.509887888,0.554874881,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,228.2507649,2574.676572,1,1,Blackwarrior_2000_1,absorbed,1.305027957,2.408036438,0,3000,86,4.927000967
Blackwarrior,2000,11,421414.7172,3601233.399,10–30 km,2,1,25.67695221,4.927000967,0.00049502,-0.044986993,0.509887888,0.554874881,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,2574.676572,1,1,Blackwarrior_2000_1,absorbed,1.305027957,2.408036438,0,3000,86,4.927000967
Blackwarrior,2000,12,421594.8407,3601172.989,10–30 km,2,1,25.73950629,-1.583559833,0.00137199,-0.131582678,0.498894632,0.63047731,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,189.9837976,2764.660369,1,1,Blackwarrior_2000_1,absorbed,1.305027957,2.408036438,0,3000,86,1.583559833
Blackwarrior,2000,12,421594.8407,3601172.989,10–30 km,2,1,25.73950629,-1.583559833,0.00137199,-0.131582678,0.498894632,0.63047731,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,2764.660369,1,1,Blackwarrior_2000_1,absorbed,1.305027957,2.408036438,0,3000,86,1.583559833
Blackwarrior,2000,13,421776.1529,3601180.622,10–30 km,2,1,25.7352864,-9.671564484,-6.79E-05,-0.119768472,0.457362657,0.577131129,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,181.4727984,2946.133168,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,9.671564484
Blackwarrior,2000,13,421776.1529,3601180.622,10–30 km,2,1,25.7352864,-9.671564484,-6.79E-05,-0.119768472,0.457362657,0.577131129,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,2946.133168,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,9.671564484
Blackwarrior,2000,14,422181.0242,3601223.877,10–30 km,2,1,25.70428404,1.391028697,-0.00059741,-0.052216107,0.400841525,0.453057632,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,407.1753487,3353.308517,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,1.391028697
Blackwarrior,2000,14,422181.0242,3601223.877,10–30 km,2,1,25.70428404,1.391028697,-0.00059741,-0.052216107,0.400841525,0.453057632,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,3353.308517,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,1.391028697
Blackwarrior,2000,15,422573.8467,3601142.109,10–30 km,2,1,25.80394435,3.639694851,-0.000692545,-0.12625687,0.534883591,0.661140461,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,401.2424732,3754.55099,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,3.639694851
Blackwarrior,2000,15,422573.8467,3601142.109,10–30 km,2,1,25.80394435,3.639694851,-0.000692545,-0.12625687,0.534883591,0.661140461,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,3754.55099,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,3.639694851
Blackwarrior,2000,16,422976.5167,3600883.187,10–30 km,2,1,26.08691216,-11.9811038,-0.000774991,0.007473104,0.27301549,0.265542386,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,478.7313766,4233.282366,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,11.9811038
Blackwarrior,2000,16,422976.5167,3600883.187,10–30 km,2,1,26.08691216,-11.9811038,-0.000774991,0.007473104,0.27301549,0.265542386,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,4233.282366,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,11.9811038
Blackwarrior,2000,17,423133.2005,3600641.477,10–30 km,2,1,26.3391834,0.885422587,-0.000631688,0.003542005,0.372837342,0.369295337,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,288.0512754,4521.333642,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,0.885422587
Blackwarrior,2000,17,423133.2005,3600641.477,10–30 km,2,1,26.3391834,0.885422587,-0.000631688,0.003542005,0.372837342,0.369295337,1.305027957,0.967452609,-0.337575348,features_model_ready_cleaned.csv,2000-2018,TRUE,0,4521.333642,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,0.885422587
Blackwarrior,2000,18,423338.5962,3600344.325,10–30 km,2,1,26.65133822,-10.3691134,-0.00218865,0.016002668,0.257323767,0.241321099,1.305027957,0.967452609,-0.337575348,features_model_ready_with_Cahaba_NoDam0.csv,2000-2018,TRUE,361.229435,4882.563077,-1,-1,Blackwarrior_2000_2,absorbed,1.305027957,2.408036438,0,3000,86,10.3691134
